Último Dia Com,Papel,Descrição/Emissor,Tipo,Tipo do Provento,Valor Provento,Último Preço Com,Provento Por,Data de Pagamento
05/07/2026,ODER3,ODERICH,ON,DIVIDENDO,0.02384860,,1,05/29/2026
05/07/2026,ODER4,ODERICH,PN,DIVIDENDO,0.00238486,120.00,1,05/29/2026
05/07/2026,ODER4,ODERICH,PN,DIVIDENDO,0.02384860,120.00,1,05/29/2026
05/07/2026,RANI3,IRANI,ON,DIVIDENDO,0.02243106,7.87,1,05/20/2026
05/06/2026,DOHL3,DOHLER,ON,DIVIDENDO,0.03300000,6.51,1,05/27/2026
05/06/2026,DOHL4,DOHLER,PN,DIVIDENDO,0.03630000,3.71,1,05/27/2026
05/05/2026,BPAR3,BANPARA,ON,DIVIDENDO,3.61450900,250.00,1,05/21/2026
05/05/2026,LTEL3B,LITEL,ON,DIVIDENDO,0.35787454,,1,05/06/2026
05/05/2026,LTEL3B,LITEL,ON,JRS CAP PRÓPRIO,0.28770915,,1,05/06/2026
05/05/2026,LTLA3B,LITELA,ON,REST CAP DIN,0.27451142,,1,05/06/2026
05/04/2026,BRSR3,BANRISUL,ON,DIVIDENDO,0.07085547,17.93,1,05/18/2026
05/04/2026,BRSR5,BANRISUL,PNA,DIVIDENDO,0.08527644,17.32,1,05/18/2026
05/04/2026,BRSR6,BANRISUL,PNB,DIVIDENDO,0.07085547,15.36,1,05/18/2026
05/04/2026,EGIE3,ENGIE BRASIL,ON,DIVIDENDO,0.48828976,35.15,1,05/20/2026
05/04/2026,ESPA3,ESPACOLASER,ON,DIVIDENDO,0.00062213,1.04,1,12/31/2026
05/04/2026,JOPA3,JOSAPAR,ON,DIVIDENDO,0.31944440,17.58,1,12/31/2026
05/04/2026,JOPA4,JOSAPAR,PN,DIVIDENDO,0.35138884,17.00,1,12/31/2026
05/04/2026,PASS3,COMPASS,ON,DIVIDENDO,0.56783617,,1,12/31/2026
05/04/2026,BBDC3,BRADESCO,ON,JRS CAP PRÓPRIO,0.01724983,16.37,1,06/01/2026
05/04/2026,BBDC4,BRADESCO,PN,JRS CAP PRÓPRIO,0.01897481,18.91,1,06/01/2026
05/04/2026,BEES3,BANESTES,ON,JRS CAP PRÓPRIO,0.02877664,8.99,1,06/01/2026
05/04/2026,BEES4,BANESTES,PN,JRS CAP PRÓPRIO,0.02877664,9.00,1,06/01/2026
04/30/2026,BALM3,BAUMER,ON,DIVIDENDO,0.82000000,26.00,1,12/30/2026
04/30/2026,BALM4,BAUMER,PN,DIVIDENDO,0.82000000,19.79,1,12/30/2026
04/30/2026,BMKS3,BIC MONARK,ON,DIVIDENDO,10.05814846,397.50,1,06/29/2026
04/30/2026,CEBR3,CEB,ON,DIVIDENDO,0.60937904,32.55,1,05/08/2026
04/30/2026,CEBR5,CEB,PNA,DIVIDENDO,0.60937904,29.00,1,05/08/2026
04/30/2026,CEBR6,CEB,PNB,DIVIDENDO,0.67031695,32.39,1,05/08/2026
04/30/2026,CLSC3,CELESC,ON,DIVIDENDO,0.63321677,132.38,1,06/30/2026
04/30/2026,CLSC3,CELESC,ON,DIVIDENDO,0.63321677,132.38,1,12/30/2026
04/30/2026,CLSC4,CELESC,PN,DIVIDENDO,0.69653845,153.49,1,12/30/2026
04/30/2026,CLSC4,CELESC,PN,DIVIDENDO,0.69653845,153.49,1,06/30/2026
04/30/2026,CMIG3,CEMIG,ON,DIVIDENDO,0.11817794,16.81,1,12/30/2026
04/30/2026,CMIG3,CEMIG,ON,DIVIDENDO,0.11817794,16.81,1,06/30/2026
04/30/2026,CMIG4,CEMIG,PN,DIVIDENDO,0.11817794,12.54,1,12/30/2026
04/30/2026,CMIG4,CEMIG,PN,DIVIDENDO,0.11817794,12.54,1,06/30/2026
04/30/2026,CXSE3,CAIXA SEGURI,ON,DIVIDENDO,0.33000000,18.09,1,05/15/2026
04/30/2026,FIGE3,INVEST BEMGE,ON,DIVIDENDO,0.05756005,33.00,1,12/31/2026
04/30/2026,FIGE4,INVEST BEMGE,PN,DIVIDENDO,0.06331605,30.00,1,12/31/2026
04/30/2026,GEPA3,GER PARANAP,ON,DIVIDENDO,0.24085316,38.00,1,12/31/2026
04/30/2026,GEPA4,GER PARANAP,PN,DIVIDENDO,0.24085316,39.91,1,12/31/2026
04/30/2026,LPSB3,LOPES BRASIL,ON,DIVIDENDO,0.07645628,1.91,1,12/31/9999
04/30/2026,MRSA3B,MRS LOGIST,ON,DIVIDENDO,1.04609408,41.79,1,12/31/9999
04/30/2026,MRSA5B,MRS LOGIST,PNA,DIVIDENDO,1.15070349,38.00,1,12/31/9999
04/30/2026,MRSA6B,MRS LOGIST,PNB,DIVIDENDO,1.15070349,36.50,1,12/31/9999
04/30/2026,SOND3,SONDOTECNICA,ON,DIVIDENDO,6.39832699,38.66,1,05/14/2026
04/30/2026,SOND5,SONDOTECNICA,PNA,DIVIDENDO,7.03815969,71.00,1,05/14/2026
04/30/2026,SOND6,SONDOTECNICA,PNB,DIVIDENDO,7.03815969,76.00,1,05/14/2026
04/30/2026,TFCO4,TRACK FIELD,PN,DIVIDENDO,0.01011587,15.35,1,05/29/2026
04/30/2026,VTRU3,VITRUEDUCA,ON,DIVIDENDO,0.02511702,13.60,1,06/18/2026
04/30/2026,IRBR3,IRBBRASIL RE,ON,JRS CAP PRÓPRIO,0.32010663,53.50,1,05/29/2026
04/30/2026,ITUB3,ITAUUNIBANCO,ON,JRS CAP PRÓPRIO,0.01818200,43.55,1,06/01/2026
04/30/2026,ITUB4,ITAUUNIBANCO,PN,JRS CAP PRÓPRIO,0.01818200,43.19,1,06/01/2026
04/29/2026,CBAV3,CBA,ON,DIVIDENDO,0.04415329,10.58,1,05/13/2026
04/29/2026,CEGR3,CEG,ON,DIVIDENDO,0.22119406,32.91,1,12/15/2026
04/29/2026,COCE3,COELCE,ON,DIVIDENDO,0.23918873,38.00,1,12/31/2026
04/29/2026,COCE5,COELCE,PNA,DIVIDENDO,1.48326563,34.83,1,12/31/2026
04/29/2026,COCE6,COELCE,PNB,DIVIDENDO,2.47210939,,1,12/31/2026
04/29/2026,CPFE3,CPFL ENERGIA,ON,DIVIDENDO,3.73153620,50.61,1,12/31/2026
04/29/2026,DESK3,DESKTOP,ON,DIVIDENDO,0.04393063,18.22,1,12/30/2026
04/29/2026,EALT3,ACO ALTONA,ON,DIVIDENDO,0.05640379,13.62,1,10/30/2026
04/29/2026,EALT3,ACO ALTONA,ON,DIVIDENDO,0.05640379,13.62,1,08/28/2026
04/29/2026,EALT3,ACO ALTONA,ON,DIVIDENDO,0.07646688,13.62,1,06/12/2026
